id,key,summary,issue_type,status,priority,created,resolutiondate,assignee,reporter,status_transitions,loaded_at
5001,PROJ-1,Implement feature for PROJ-1,Bug,Done,Low,2024-06-09T11:00:00,2024-06-22T11:00:00,nakamura@example.com,yoshida@example.com,"[{""created"": ""2024-06-13T11:00:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""nakamura@example.com""}, {""created"": ""2024-06-22T11:00:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""nakamura@example.com""}]",2025-10-29T02:50:10.882649
5002,PROJ-2,Implement feature for PROJ-2,Story,In Progress,High,2024-11-12T20:28:00,,nakamura@example.com,ito@example.com,"[{""created"": ""2024-11-14T20:28:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""nakamura@example.com""}]",2025-10-29T02:50:10.882649
5003,PROJ-3,Implement feature for PROJ-3,Task,Done,Low,2024-10-02T10:24:00,2024-10-24T10:24:00,yoshida@example.com,nakamura@example.com,"[{""created"": ""2024-10-04T10:24:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""yoshida@example.com""}, {""created"": ""2024-10-24T10:24:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""yoshida@example.com""}]",2025-10-29T02:50:10.882649
5004,PROJ-4,Implement feature for PROJ-4,Task,Done,Low,2024-06-23T20:10:00,2024-07-08T20:10:00,kato@example.com,kato@example.com,"[{""created"": ""2024-06-28T20:10:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""kato@example.com""}, {""created"": ""2024-07-08T20:10:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""kato@example.com""}]",2025-10-29T02:50:10.882649
5005,PROJ-5,Implement feature for PROJ-5,Story,Done,High,2024-08-04T16:07:00,2024-08-21T16:07:00,kato@example.com,nakamura@example.com,"[{""created"": ""2024-08-07T16:07:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""kato@example.com""}, {""created"": ""2024-08-21T16:07:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""kato@example.com""}]",2025-10-29T02:50:10.882649
5006,PROJ-6,Implement feature for PROJ-6,Bug,Done,Low,2024-11-29T03:28:00,2024-12-13T03:28:00,nakamura@example.com,kato@example.com,"[{""created"": ""2024-12-03T03:28:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""nakamura@example.com""}, {""created"": ""2024-12-13T03:28:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""nakamura@example.com""}]",2025-10-29T02:50:10.882649
5007,PROJ-7,Implement feature for PROJ-7,Bug,Done,Medium,2024-10-16T22:57:00,2024-10-26T22:57:00,yoshida@example.com,nakamura@example.com,"[{""created"": ""2024-10-19T22:57:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""yoshida@example.com""}, {""created"": ""2024-10-26T22:57:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""yoshida@example.com""}]",2025-10-29T02:50:10.882649
5008,PROJ-8,Implement feature for PROJ-8,Task,Done,High,2024-09-23T23:15:00,2024-10-12T23:15:00,kato@example.com,nakamura@example.com,"[{""created"": ""2024-09-28T23:15:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""kato@example.com""}, {""created"": ""2024-10-12T23:15:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""kato@example.com""}]",2025-10-29T02:50:10.882649
5009,PROJ-9,Implement feature for PROJ-9,Task,Done,High,2024-03-16T22:27:00,2024-03-24T22:27:00,ito@example.com,kato@example.com,"[{""created"": ""2024-03-17T22:27:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""ito@example.com""}, {""created"": ""2024-03-24T22:27:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""ito@example.com""}]",2025-10-29T02:50:10.882649
5010,PROJ-10,Implement feature for PROJ-10,Task,Done,Low,2024-08-16T02:23:00,2024-09-04T02:23:00,ito@example.com,ito@example.com,"[{""created"": ""2024-08-19T02:23:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""ito@example.com""}, {""created"": ""2024-09-04T02:23:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""ito@example.com""}]",2025-10-29T02:50:10.882649
5011,PROJ-11,Implement feature for PROJ-11,Story,Done,Low,2024-09-07T23:26:00,2024-09-29T23:26:00,yoshida@example.com,yoshida@example.com,"[{""created"": ""2024-09-12T23:26:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""yoshida@example.com""}, {""created"": ""2024-09-29T23:26:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""yoshida@example.com""}]",2025-10-29T02:50:10.882649
5012,PROJ-12,Implement feature for PROJ-12,Bug,Done,Medium,2024-09-19T16:07:00,2024-10-01T16:07:00,yoshida@example.com,ito@example.com,"[{""created"": ""2024-09-23T16:07:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""yoshida@example.com""}, {""created"": ""2024-10-01T16:07:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""yoshida@example.com""}]",2025-10-29T02:50:10.882649
5013,PROJ-13,Implement feature for PROJ-13,Story,Done,Low,2024-03-01T19:54:00,2024-03-14T19:54:00,ito@example.com,kato@example.com,"[{""created"": ""2024-03-02T19:54:00"", ""from"": ""TODO"", ""to"": ""In Progress"", ""author"": ""ito@example.com""}, {""created"": ""2024-03-14T19:54:00"", ""from"": ""In Progress"", ""to"": ""Done"", ""author"": ""ito@example.com""}]",2025-10-29T02:50:10.882649
